3648.00,2818.00,-71.10,44.00
3690.00,2025.00,-66.98,65.00
991.00,659.00,-79.59,50.00
2832.00,483.00,-78.41,42.00
3733.00,1701.00,-71.80,58.00
3735.00,1665.00,-71.17,55.00
2251.00,659.00,-73.24,74.00
2880.00,540.00,-76.11,39.00
2610.00,900.00,-76.08,50.00
1932.00,737.00,-73.47,67.00
1581.00,461.00,-81.63,38.00
3690.00,2160.00,-77.27,68.00
3600.00,1800.00,-65.39,73.00
755.00,507.00,-73.57,35.00
1851.00,397.00,-76.93,38.00
721.00,663.00,-73.70,30.00
3517.00,2713.00,-70.42,49.00
1353.00,391.00,-76.25,49.00
3645.00,1035.00,-65.00,66.00
2430.00,366.00,-76.15,32.00
720.00,585.00,-78.06,54.00
3555.00,2295.00,-68.23,45.00
854.00,911.00,-70.64,31.00
3555.00,2475.00,-69.33,59.00
1082.00,738.00,-77.97,38.00
3555.00,2025.00,-69.91,83.00
1122.00,739.00,-77.65,38.00
802.00,911.00,-65.78,27.00
2386.00,739.00,-71.81,59.00
3510.00,1665.00,-75.99,61.00
2203.00,739.00,-74.58,69.00
3149.00,886.00,-64.24,68.00
3648.00,2458.00,-65.79,54.00
975.00,862.00,-72.42,35.00
1221.00,739.00,-76.66,40.00
2635.00,651.00,-75.40,47.00
3555.00,2070.00,-72.39,88.00
851.00,381.00,-78.17,27.00
3600.00,2505.00,-66.77,51.00
3782.00,993.00,-67.09,101.00
1800.00,707.00,-73.90,49.00
2115.00,405.00,-78.15,36.00
3555.00,1800.00,-66.83,63.00
2615.00,686.00,-72.84,51.00
2207.00,461.00,-79.59,29.00
1037.00,906.00,-73.15,40.00
1350.00,648.00,-75.40,54.00
2259.00,742.00,-72.59,60.00
671.00,676.00,-76.11,34.00
1845.00,900.00,-74.97,39.00
2025.00,900.00,-72.34,49.00
3700.00,1442.00,-62.27,60.00
3691.00,2708.00,-66.46,43.00
2606.00,413.00,-73.87,52.00
1716.00,419.00,-73.81,23.00
